"filename", "language", "C++", "Makefile", "Markdown", "JSON", "comment", "blank", "total"
"/home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-17_11-13-29/diff-details.md", "Markdown", 0, 0, 11, 0, 0, 6, 17
"/home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-17_11-13-29/diff.md", "Markdown", 0, 0, 14, 0, 0, 7, 21
"/home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-17_11-13-29/results.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"/home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-17_11-13-29/results.md", "Markdown", 0, 0, 15, 0, 0, 7, 22
"/home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-17_11-24-25/details.md", "Markdown", 0, 0, 21, 0, 0, 6, 27
"/home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-17_11-24-25/diff-details.md", "Markdown", 0, 0, 10, 0, 0, 6, 16
"/home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-17_11-24-25/diff.md", "Markdown", 0, 0, 14, 0, 0, 7, 21
"/home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-17_11-24-25/results.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"/home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-17_11-24-25/results.md", "Markdown", 0, 0, 15, 0, 0, 7, 22
"/home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-18_19-33-16/details.md", "Markdown", 0, 0, 15, 0, 0, 6, 21
"/home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-18_19-33-16/diff-details.md", "Markdown", 0, 0, 27, 0, 0, 6, 33
"/home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-18_19-33-16/diff.md", "Markdown", 0, 0, 21, 0, 0, 7, 28
"/home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-18_19-33-16/results.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"/home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-18_19-33-16/results.md", "Markdown", 0, 0, 19, 0, 0, 7, 26
"/home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-18_19-33-38/details.md", "Markdown", 0, 0, 15, 0, 0, 6, 21
"/home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-18_19-33-38/diff-details.md", "Markdown", 0, 0, 9, 0, 0, 6, 15
"/home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-18_19-33-38/diff.md", "Markdown", 0, 0, 12, 0, 0, 7, 19
"/home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-18_19-33-38/results.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"/home/ubuntu/IB2TF/Test/InclineSod/.VSCodeCounter/2022-03-18_19-33-38/results.md", "Markdown", 0, 0, 19, 0, 0, 7, 26
"/home/ubuntu/IB2TF/Test/InclineSod/InclineSod.cpp", "C++", 106, 0, 0, 0, 6, 19, 131
"/home/ubuntu/IB2TF/Test/InclineSod/Initialize.cpp", "C++", 57, 0, 0, 0, 0, 2, 59
"/home/ubuntu/IB2TF/Test/InclineSod/Level_Set_function.cpp", "C++", 25, 0, 0, 0, 1, 3, 29
"/home/ubuntu/IB2TF/Test/InclineSod/Makefile", "Makefile", 0, 12, 0, 0, 0, 4, 16
"/home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-05-02/details.md", "Markdown", 0, 0, 21, 0, 0, 6, 27
"/home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-05-02/diff-details.md", "Markdown", 0, 0, 10, 0, 0, 6, 16
"/home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-05-02/diff.md", "Markdown", 0, 0, 14, 0, 0, 7, 21
"/home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-05-02/results.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"/home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-05-02/results.md", "Markdown", 0, 0, 15, 0, 0, 7, 22
"/home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-13-29/details.md", "Markdown", 0, 0, 21, 0, 0, 6, 27
"/home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-13-29/diff-details.md", "Markdown", 0, 0, 11, 0, 0, 6, 17
"/home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-13-29/diff.md", "Markdown", 0, 0, 14, 0, 0, 7, 21
"/home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-13-29/results.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"/home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-13-29/results.md", "Markdown", 0, 0, 15, 0, 0, 7, 22
"/home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-24-25/details.md", "Markdown", 0, 0, 21, 0, 0, 6, 27
"/home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-24-25/diff-details.md", "Markdown", 0, 0, 10, 0, 0, 6, 16
"/home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-24-25/diff.md", "Markdown", 0, 0, 14, 0, 0, 7, 21
"/home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-24-25/results.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"/home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-17_11-24-25/results.md", "Markdown", 0, 0, 15, 0, 0, 7, 22
"/home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-18_19-33-16/details.md", "Markdown", 0, 0, 15, 0, 0, 6, 21
"/home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-18_19-33-16/diff-details.md", "Markdown", 0, 0, 27, 0, 0, 6, 33
"/home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-18_19-33-16/diff.md", "Markdown", 0, 0, 21, 0, 0, 7, 28
"/home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-18_19-33-16/results.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"/home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-18_19-33-16/results.md", "Markdown", 0, 0, 19, 0, 0, 7, 26
"/home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-18_19-33-38/details.md", "Markdown", 0, 0, 15, 0, 0, 6, 21
"/home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-18_19-33-38/diff-details.md", "Markdown", 0, 0, 9, 0, 0, 6, 15
"/home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-18_19-33-38/diff.md", "Markdown", 0, 0, 12, 0, 0, 7, 19
"/home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-18_19-33-38/results.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"/home/ubuntu/IB2TF/Test/Sod/.VSCodeCounter/2022-03-18_19-33-38/results.md", "Markdown", 0, 0, 19, 0, 0, 7, 26
"/home/ubuntu/IB2TF/Test/Sod/Initialize.cpp", "C++", 46, 0, 0, 0, 2, 0, 48
"/home/ubuntu/IB2TF/Test/Sod/Level_Set_function.cpp", "C++", 9, 0, 0, 0, 0, 4, 13
"/home/ubuntu/IB2TF/Test/Sod/Makefile", "Makefile", 0, 12, 0, 0, 0, 4, 16
"/home/ubuntu/IB2TF/Test/Sod/Sod.cpp", "C++", 99, 0, 0, 0, 3, 18, 120
"Total", "-", 1525, 24, 636, 10, 110, 406, 2711
